                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.94453,                0.58115,                0.93119,                 1.3124,                0.78687,                0.94356,                0.78389,                0.85252,                0.84406,                0.57066,                 1.0137,                0.60258,                0.94503,                 1.2938,                0.73425,                0.96445,              0.0007822,              0.0007822,              0.0007822
                     25,                0.91693,                0.56318,                0.92553,                 1.2941,                 0.7618,                0.93924,                0.82581,                0.78373,                0.83588,                 0.5923,                0.93981,                0.58278,                0.93516,                 1.2809,                0.76498,                0.94452,              0.0007723,              0.0007723,              0.0007723
                     26,                0.92745,                0.55903,                0.92844,                 1.3056,                 0.7612,                0.93981,                0.86639,                 0.8096,                0.85414,                0.59582,                0.93211,                0.58766,                 0.9308,                 1.2798,                 0.6908,                0.95256,              0.0007624,              0.0007624,              0.0007624
                     27,                0.92951,                0.56923,                0.93244,                 1.2934,                0.76408,                 0.9461,                0.87484,                 0.8225,                0.89174,                0.61833,                0.97349,                0.57675,                 0.9468,                 1.2719,                0.68985,                0.94781,              0.0007525,              0.0007525,              0.0007525
                     28,                 0.9278,                0.55596,                0.92645,                 1.2883,                 0.7379,                0.94378,                 0.8773,                0.83259,                0.89389,                0.61114,                0.92944,                0.56209,                0.93497,                 1.2363,                0.66725,                0.94759,              0.0007426,              0.0007426,              0.0007426
                     29,                0.91771,                0.55364,                0.92527,                 1.3008,                0.75175,                0.93916,                0.81679,                0.88285,                0.89268,                0.61115,                0.93601,                 0.5295,                0.93164,                 1.2915,                0.64302,                0.97277,              0.0007327,              0.0007327,              0.0007327
                     30,                0.93022,                0.55359,                0.93756,                 1.2951,                0.76222,                0.94776,                 0.8127,                0.86949,                0.87607,                0.58382,                0.95835,                0.55499,                0.94318,                 1.3329,                0.70932,                0.97097,              0.0007228,              0.0007228,              0.0007228
                     31,                0.93008,                0.54359,                0.92774,                 1.2859,                0.72134,                0.93329,                0.82425,                 0.8283,                0.87883,                0.61223,                0.96299,                0.56559,                 0.9454,                  1.275,                0.66643,                0.95905,              0.0007129,              0.0007129,              0.0007129
                     32,                0.90414,                0.53361,                0.92208,                 1.2699,                0.72864,                0.93711,                0.87156,                0.85566,                0.90371,                0.61126,                0.92756,                0.55854,                 0.9432,                 1.2504,                0.65944,                0.95595,               0.000703,               0.000703,               0.000703
                     33,                0.89647,                0.53458,                0.92249,                 1.2554,                0.72237,                 0.9361,                0.78181,                0.87347,                0.87438,                 0.6248,                0.96802,                0.55607,                 0.9582,                 1.2611,                0.63779,                0.96067,              0.0006931,              0.0006931,              0.0006931
                     34,                0.90217,                0.52732,                0.91691,                  1.283,                0.70876,                0.92942,                0.70148,                0.91748,                0.86028,                0.60795,                0.94957,                0.52662,                0.95171,                  1.222,                0.66224,                0.94888,              0.0006832,              0.0006832,              0.0006832
                     35,                 0.8872,                0.51992,                0.91826,                 1.2342,                0.68939,                0.92785,                0.83283,                0.87231,                0.91209,                0.65206,                0.94384,                0.50639,                0.94606,                 1.2786,                 0.6196,                0.96795,              0.0006733,              0.0006733,              0.0006733
                     36,                0.89896,                0.52566,                 0.9198,                 1.2692,                0.71629,                0.93055,                0.84105,                0.86688,                0.90385,                0.63417,                0.96534,                0.52235,                0.94756,                 1.2497,                0.63754,                0.94406,              0.0006634,              0.0006634,              0.0006634
                     37,                0.89172,                0.51516,                0.92114,                 1.2438,                 0.6752,                0.93249,                0.86269,                0.86442,                0.89593,                0.64879,                0.91946,                0.51859,                0.94274,                 1.2045,                0.61767,                0.93837,              0.0006535,              0.0006535,              0.0006535
                     38,                0.86887,                0.50766,                0.91376,                 1.2295,                0.66786,                0.92459,                0.83711,                0.86962,                0.88842,                0.63552,                 0.9623,                0.52921,                 0.9426,                 1.2432,                0.66672,                 0.9489,              0.0006436,              0.0006436,              0.0006436
                     39,                0.89062,                0.51741,                0.91667,                  1.264,                 0.6987,                0.92519,                0.82034,                0.88842,                0.87068,                0.62079,                0.94524,                0.52091,                0.94485,                 1.2526,                0.67173,                0.95093,              0.0006337,              0.0006337,              0.0006337
                     40,                0.89384,                0.51704,                0.91713,                 1.2427,                0.67113,                 0.9287,                0.88456,                0.84427,                0.91276,                0.65751,                0.92267,                0.51732,                0.93464,                 1.2208,                0.61098,                0.93995,              0.0006238,              0.0006238,              0.0006238
                     41,                 0.8749,                0.50458,                0.90881,                 1.2509,                0.66691,                0.92454,                0.88954,                0.87948,                 0.9067,                0.65494,                0.91796,                0.50772,                0.92855,                 1.2195,                0.62546,                0.94045,              0.0006139,              0.0006139,              0.0006139
                     42,                0.88135,                0.50387,                0.91755,                 1.2292,                0.66273,                0.92702,                0.81269,                0.85623,                0.88399,                0.62736,                0.92938,                0.52889,                0.92956,                 1.2303,                0.64822,                0.94748,               0.000604,               0.000604,               0.000604
                     43,                0.88225,                0.50351,                0.91706,                 1.2525,                0.66952,                0.92723,                0.85794,                0.86137,                0.90648,                0.64096,                 0.9346,                0.49579,                0.93547,                 1.2683,                0.57483,                0.94765,              0.0005941,              0.0005941,              0.0005941
                     44,                 0.8544,                  0.488,                0.90367,                 1.2064,                0.63619,                0.91569,                0.86575,                0.87102,                0.90462,                0.65082,                0.93969,                0.50056,                 0.9327,                 1.2664,                0.56755,                0.95023,              0.0005842,              0.0005842,              0.0005842
                     45,                0.86651,                0.49112,                0.90912,                 1.2281,                0.65278,                0.92242,                0.86259,                0.86964,                 0.8775,                0.62966,                0.94227,                0.50247,                0.94256,                 1.2272,                0.56861,                0.93754,              0.0005743,              0.0005743,              0.0005743
                     46,                0.85465,                0.48861,                0.90103,                  1.217,                0.65474,                0.91373,                0.82478,                0.89125,                0.89829,                0.64466,                0.91772,                0.50673,                0.92855,                 1.2219,                 0.5543,                0.94205,              0.0005644,              0.0005644,              0.0005644
                     47,                0.86482,                0.48446,                  0.911,                 1.2172,                0.63839,                0.92142,                0.80415,                0.87201,                0.88616,                0.62638,                0.95018,                0.51913,                0.93837,                  1.212,                0.60671,                0.92906,              0.0005545,              0.0005545,              0.0005545
                     48,                0.84351,                0.47269,                 0.9011,                 1.1874,                 0.6135,                0.91171,                0.80442,                0.88237,                0.92051,                0.65821,                0.91777,                0.49209,                0.94461,                 1.2364,                0.56136,                0.95104,              0.0005446,              0.0005446,              0.0005446
                     49,                0.85685,                0.48774,                0.90292,                 1.2156,                0.63583,                0.91255,                0.83738,                0.89503,                0.90975,                0.64539,                0.93778,                0.50736,                0.94383,                 1.2162,                0.57888,                0.94644,              0.0005347,              0.0005347,              0.0005347
                     50,                0.86226,                 0.4827,                0.90882,                  1.214,                0.62955,                0.92004,                0.83553,                 0.8946,                0.91556,                0.66644,                0.90723,                 0.5154,                0.92747,                 1.2166,                0.57391,                0.93729,              0.0005248,              0.0005248,              0.0005248
                     51,                0.84672,                0.47398,                0.90575,                 1.1934,                0.63675,                0.91519,                0.83835,                0.88326,                0.90816,                0.65313,                 0.9108,                0.48466,                0.93002,                 1.2324,                0.56579,                0.94119,              0.0005149,              0.0005149,              0.0005149
                     52,                 0.8479,                0.47049,                0.90946,                 1.2106,                0.61221,                0.91805,                0.88835,                 0.8835,                0.92012,                0.66014,                0.89504,                0.49225,                0.92314,                 1.1869,                0.53825,                0.93413,               0.000505,               0.000505,               0.000505
                     53,                0.82828,                0.46195,                0.90047,                 1.1745,                0.60451,                0.91302,                0.89299,                0.86103,                0.91279,                0.65349,                0.93669,                0.47805,                0.93687,                 1.2273,                0.57911,                0.94933,              0.0004951,              0.0004951,              0.0004951
                     54,                0.84632,                0.47511,                0.90641,                 1.1962,                0.62342,                0.91444,                0.83635,                0.89782,                0.91189,                 0.6687,                 0.9162,                0.49926,                0.94018,                   1.17,                0.59001,                0.93141,              0.0004852,              0.0004852,              0.0004852
                     55,                0.84633,                0.46912,                0.90675,                 1.1966,                0.61532,                0.91908,                0.82816,                0.87824,                0.88712,                0.63387,                0.92379,                0.50425,                0.94276,                 1.2426,                0.61248,                 0.9537,              0.0004753,              0.0004753,              0.0004753
                     56,                0.83308,                0.46374,                0.89788,                 1.1848,                0.61651,                0.90741,                0.82773,                0.87703,                0.89716,                 0.6521,                0.92513,                0.50056,                0.94397,                 1.2227,                 0.5925,                0.94469,              0.0004654,              0.0004654,              0.0004654
